puzzle,human time,time (naive),memory (naive),rlimit count (naive),time,memory,rlimit count,model count
1,489,0.028,33.66,2999,0.002,50.13,2805,217
2,150,0.002,50.15,2882,0.003,50.15,2694,1
3,371,0.002,50.14,2735,0.002,50.14,2553,2
4,692,0.002,50.13,2749,0.002,50.13,2525,1
5,179,0.002,50.13,2594,0.002,50.13,2404,1
6,343,0.002,50.13,2648,0.002,50.13,2457,2
7,50,0.002,50.13,2791,0.002,50.13,2601,1
8,369,0.002,50.14,2807,0.002,50.14,2617,3
9,780,0.002,50.14,2810,0.002,50.14,2620,1
10,504,0.002,50.15,2908,0.002,50.15,2710,4
11,297,0.002,50.14,2596,0.002,50.14,2406,1
12,266,0.002,50.13,2611,0.002,50.13,2417,1
13,309,0.002,50.13,2626,0.002,50.13,2432,5
14,784,0.002,50.14,2868,0.002,50.14,2670,1
15,327,0.002,50.14,2580,0.002,50.14,2390,6
16,79,0.002,50.13,2606,0.002,50.13,2412,1
17,398,0.003,50.13,2850,0.002,50.13,2652,4
18,298,0.002,50.14,2741,0.002,50.13,2563,3
19,420,0.002,50.14,2901,0.002,50.14,2703,5
20,376,0.002,50.15,3027,0.002,50.15,2833,1
21,600,0.002,50.14,2804,0.002,50.14,2614,1
22,480,0.002,50.14,2620,0.002,50.13,2430,8
